,cluster
0,0
1,1
2,2
3,2
4,1
5,1
6,1
7,0
8,2
9,1
10,1
11,1
12,1
13,2
14,0
15,2
16,1
17,0
18,2
19,1
20,2
21,1
22,2
23,1
24,2
25,2
26,2
27,2
28,1
29,2
30,0
31,1
32,2
33,2
34,0
35,1
36,1
37,2
38,2
39,2
40,1
41,0
42,0
43,2
44,2
45,1
46,2
47,2
48,2
49,1
50,2
51,1
52,0
53,1
54,1
55,1
56,2
57,2
58,1
59,2
60,0
61,1
62,2
63,1
64,0
65,1
66,1
67,0
68,0
69,1
70,2
71,0
72,1
73,1
74,1
75,1
76,1
77,2
78,1
79,2
80,1
81,1
82,2
83,2
84,1
85,0
86,0
87,1
88,0
89,2
90,2
91,2
92,1
93,2
94,1
95,1
96,0
97,2
98,2
99,1
100,2
101,1
102,1
103,2
104,1
105,1
106,2
107,1
108,2
109,1
110,1
111,2
112,1
113,2
114,0
115,2
116,2
117,2
118,0
119,0
120,0
121,2
122,1
123,1
124,2
125,0
126,1
127,1
128,2
129,1
130,0
131,2
132,1
133,1
134,0
135,1
136,0
137,1
138,2
139,1
140,0
141,0
142,2
143,1
144,2
145,0
146,2
147,2
148,0
149,1
150,1
151,0
152,1
153,1
154,0
155,1
156,1
157,1
158,1
159,2
160,2
161,1
162,0
163,1
164,1
165,1
166,2
167,1
168,1
169,0
170,0
171,0
172,1
173,0
174,0
175,2
176,1
177,1
178,1
179,2
180,2
181,0
182,2
183,2
184,2
185,2
186,1
187,1
188,1
189,2
190,2
191,2
192,1
193,2
194,1
195,1
196,1
197,0
198,0
199,2
200,2
201,2
202,1
203,0
204,2
205,2
206,0
207,2
208,2
209,0
210,1
211,2
212,0
213,1
214,1
215,0
216,1
217,2
218,1
219,1
220,1
221,0
222,2
223,1
224,1
225,1
226,1
227,1
228,2
229,0
230,2
231,1
232,0
233,1
234,2
235,1
236,1
237,1
238,1
239,2
240,2
241,0
242,0
243,1
244,1
245,2
246,1
247,1
248,1
249,1
250,1
251,0
252,0
253,1
254,0
255,1
256,1
257,1
258,1
259,0
260,1
261,1
262,2
263,1
264,0
265,2
266,0
267,2
268,1
269,1
270,0
271,1
272,0
273,0
274,0
275,1
276,1
277,1
278,1
279,1
280,1
281,2
282,0
283,1
284,2
285,2
286,2
287,2
288,0
289,1
290,1
291,0
292,1
293,1
294,0
295,2
296,1
297,2
298,2
299,2
300,2
301,0
302,2
303,1
304,1
305,2
306,1
307,1
308,2
309,1
310,1
311,1
312,1
313,2
314,1
315,1
316,1
317,2
318,1
319,2
320,1
321,2
322,2
323,1
324,2
325,2
326,1
327,2
328,0
329,0
330,2
331,2
332,1
333,1
334,1
335,1
336,2
337,2
338,1
339,0
340,1
341,0
342,1
343,1
344,2
345,2
346,2
347,1
348,2
349,1
350,0
351,2
352,1
353,0
354,2
355,2
356,0
357,1
358,2
359,0
360,0
361,1
362,2
363,2
364,1
365,0
366,2
367,1
368,1
369,1
370,1
371,2
372,1
373,1
374,2
375,2
376,1
377,1
378,1
379,2
380,1
381,0
382,1
383,1
384,2
385,0
386,2
387,1
388,1
389,0
390,1
391,1
392,0
393,1
394,1
395,1
396,0
397,0
398,1
399,2
400,2
401,2
402,2
403,2
404,1
405,1
406,0
407,2
408,1
409,1
410,0
411,1
412,2
413,2
414,1
415,1
416,2
417,1
418,2
419,1
420,2
421,1
422,2
423,1
424,2
425,1
426,1
427,1
428,1
429,0
430,2
431,0
432,2
433,1
434,0
435,0
436,2
437,2
438,1
439,1
440,2
441,2
442,2
443,0
444,2
445,2
446,0
447,0
448,1
449,0
450,2
451,2
452,2
453,0
454,0
455,2
456,2
457,2
458,1
459,1
460,1
461,0
462,1
463,1
464,2
465,1
466,0
467,2
468,1
469,2
470,1
471,2
472,2
473,0
474,1
475,2
476,0
477,0
478,1
479,1
480,2
481,0
482,1
483,1
484,2
485,1
486,2
487,0
488,1
489,1
490,1
491,2
492,1
493,1
494,1
495,2
496,2
497,2
498,2
499,0
500,1
501,1
502,1
503,1
504,1
505,1
506,0
507,2
508,1
509,1
510,0
511,2
512,0
513,2
514,0
515,1
516,1
517,1
518,0
519,1
520,2
521,2
522,1
523,0
524,1
525,0
526,0
527,1
528,2
529,1
530,1
531,1
532,0
533,0
534,0
535,2
536,0
537,1
538,2
539,1
540,1
541,0
542,2
543,1
544,1
545,2
546,2
547,1
548,1
549,1
550,0
551,1
552,1
553,1
554,2
555,1
556,2
557,2
558,0
559,2
560,1
561,1
562,1
563,0
564,2
565,1
566,2
567,0
568,1
569,0
570,2
571,2
572,1
573,2
574,2
575,1
576,0
577,1
578,0
579,0
580,0
581,1
582,1
583,1
584,1
585,0
586,1
587,1
588,0
589,0
590,2
591,1
592,2
593,0
594,1
595,2
596,0
597,2
598,1
599,1
600,1
601,2
602,0
603,1
604,1
605,2
606,0
607,2
608,2
609,1
610,2
611,1
612,0
613,1
614,1
615,1
616,1
617,1
618,2
619,1
620,1
621,2
622,2
623,2
624,2
625,1
626,1
627,1
628,1
629,0
630,1
631,1
632,2
633,0
634,1
635,1
636,1
637,2
638,2
639,1
640,1
641,1
642,2
643,1
644,2
645,1
646,0
647,0
648,2
649,1
650,1
651,1
652,2
653,1
654,2
655,0
656,2
657,2
658,1
659,0
660,2
661,0
662,1
663,1
664,2
665,2
666,0
667,1
668,2
669,1
670,2
671,2
672,1
673,1
674,2
675,0
676,1
677,2
678,1
679,1
680,1
681,0
682,1
683,1
684,2
685,2
686,2
687,2
688,2
689,1
690,1
691,1
692,0
693,0
694,0
695,1
696,0
697,0
698,2
699,2
700,2
701,1
702,0
703,2
704,2
705,2
706,0
707,1
708,2
709,1
710,2
711,0
712,0
713,0
714,2
715,0
716,0
717,1
718,2
719,2
720,2
721,1
722,1
723,1
724,1
725,2
726,1
727,0
728,2
729,0
730,1
731,1
732,2
733,1
734,1
735,1
736,1
737,1
738,1
739,0
740,2
741,2
742,1
743,2
744,2
745,1
746,2
747,1
748,2
749,0
750,0
751,1
752,1
753,1
754,0
755,1
756,1
757,0
758,1
759,2
760,2
761,2
762,1
763,2
764,1
765,2
766,1
767,1
768,1
769,0
770,2
771,1
772,2
773,1
774,0
775,1
776,1
777,1
778,2
779,0
780,1
781,2
782,1
783,2
784,1
785,1
786,2
787,1
788,1
789,0
790,2
791,1
792,2
793,1
794,0
795,2
796,1
797,2
798,2
799,1
800,0
801,2
802,1
803,0
804,1
805,1
806,1
807,2
808,1
809,1
810,1
811,0
812,2
813,2
814,1
815,0
816,1
817,2
818,2
819,2
820,1
821,0
822,1
823,2
824,2
825,0
826,1
827,1
828,0
829,2
830,1
831,2
832,0
833,1
834,1
835,1
836,2
837,2
838,0
839,2
840,2
841,2
842,2
843,1
844,1
845,0
846,1
847,2
848,1
849,1
850,1
851,2
852,0
853,1
854,0
855,1
856,1
857,1
858,1
859,2
860,1
861,0
862,2
863,1
864,1
865,1
866,2
867,2
868,2
869,1
870,1
871,2
872,1
873,0
874,2
875,2
876,2
877,0
878,0
879,0
880,2
881,2
882,1
883,1
884,0
885,2
886,1
887,1
888,1
889,1
890,2
891,0
892,1
893,1
894,2
895,1
896,2
897,0
898,2
899,2
900,1
901,2
902,1
903,2
904,2
905,0
906,0
907,2
908,0
909,2
910,1
911,1
912,1
913,1
914,2
915,1
916,2
917,1
918,2
919,1
920,1
921,0
922,2
923,0
924,1
925,2
926,0
927,1
928,2
929,2
930,0
931,2
932,1
933,2
934,0
935,2
936,1
937,2
938,1
939,1
940,1
941,1
942,2
943,2
944,2
945,2
946,1
947,2
948,1
949,2
950,1
951,1
952,1
953,1
954,1
955,1
956,2
957,1
958,2
959,0
960,1
961,2
962,2
963,0
964,1
965,1
966,1
967,2
968,2
969,1
970,2
971,0
972,2
973,1
974,0
975,1
976,2
977,2
978,1
979,0
980,2
981,2
982,2
983,1
984,1
985,1
986,0
987,0
988,0
989,0
990,0
991,1
992,2
993,2
994,1
995,0
996,2
997,1
998,1
999,2
1000,0
1001,0
1002,0
1003,0
1004,0
1005,2
1006,1
1007,2
1008,1
1009,1
1010,1
1011,1
1012,1
1013,1
1014,2
1015,2
1016,0
1017,2
1018,2
1019,1
1020,0
1021,1
1022,1
1023,1
1024,0
1025,1
1026,1
1027,1
1028,2
1029,1
1030,1
1031,2
1032,1
1033,1
1034,2
1035,0
1036,1
1037,0
1038,2
1039,1
1040,1
1041,1
1042,2
1043,2
1044,0
1045,1
1046,1
1047,1
1048,2
1049,2
1050,1
1051,2
1052,2
1053,2
1054,1
1055,1
1056,0
1057,1
1058,0
1059,2
1060,2
